CMDLINE 22536
MEM 3.417969 1714303972.5593
MEM 3.417969 1714303972.6597
MEM 3.417969 1714303972.7604
MEM 3.417969 1714303972.8609
MEM 3.417969 1714303972.9614
MEM 3.417969 1714303973.0620
MEM 3.417969 1714303973.1625
MEM 3.417969 1714303973.2630
MEM 3.417969 1714303973.3632
MEM 3.417969 1714303973.4636
MEM 3.417969 1714303973.5640
MEM 3.417969 1714303973.6646
MEM 3.417969 1714303973.7650
MEM 3.417969 1714303973.8652
MEM 3.417969 1714303973.9658
MEM 3.417969 1714303974.0661
MEM 3.417969 1714303974.1665
MEM 3.417969 1714303974.2672
MEM 3.417969 1714303974.3678
MEM 3.417969 1714303974.4682
MEM 3.417969 1714303974.5692
MEM 3.417969 1714303974.6698
MEM 3.417969 1714303974.7702
MEM 3.417969 1714303974.8710
MEM 3.417969 1714303974.9716
MEM 3.417969 1714303975.0724
MEM 3.417969 1714303975.1730
MEM 3.417969 1714303975.2732
MEM 3.417969 1714303975.3733
MEM 3.417969 1714303975.4735
MEM 3.417969 1714303975.5740
MEM 3.417969 1714303975.6745
MEM 3.417969 1714303975.7747
MEM 3.417969 1714303975.8755
MEM 3.417969 1714303975.9758
MEM 3.417969 1714303976.0764
MEM 3.417969 1714303976.1767
MEM 3.417969 1714303976.2770
MEM 3.417969 1714303976.3776
MEM 3.417969 1714303976.4780
MEM 3.417969 1714303976.5787
MEM 3.417969 1714303976.6793
MEM 3.417969 1714303976.7798
MEM 3.417969 1714303976.8803
MEM 3.417969 1714303976.9811
MEM 3.417969 1714303977.0816
MEM 3.417969 1714303977.1820
MEM 3.417969 1714303977.2823
MEM 3.417969 1714303977.3824
MEM 3.417969 1714303977.4830
MEM 3.417969 1714303977.5837
MEM 3.417969 1714303977.6842
MEM 3.417969 1714303977.7844
MEM 3.417969 1714303977.8851
MEM 3.417969 1714303977.9856
MEM 3.417969 1714303978.0861
MEM 3.417969 1714303978.1865
MEM 3.417969 1714303978.2870
MEM 3.417969 1714303978.3875
MEM 3.417969 1714303978.4879
MEM 3.417969 1714303978.5883
MEM 3.417969 1714303978.6889
MEM 3.417969 1714303978.7896
MEM 3.417969 1714303978.8904
MEM 3.417969 1714303978.9909
MEM 3.417969 1714303979.0911
MEM 3.417969 1714303979.1918
MEM 3.417969 1714303979.2924
MEM 3.417969 1714303979.3926
MEM 3.417969 1714303979.4932
MEM 3.417969 1714303979.5938
MEM 3.417969 1714303979.6946
MEM 3.417969 1714303979.7951
MEM 3.417969 1714303979.8957
MEM 3.417969 1714303979.9962
MEM 3.417969 1714303980.0964
MEM 3.417969 1714303980.1969
MEM 3.417969 1714303980.2973
MEM 3.417969 1714303980.3978
MEM 3.417969 1714303980.4982
MEM 3.417969 1714303980.5987
MEM 3.417969 1714303980.6990
MEM 3.417969 1714303980.7996
MEM 3.417969 1714303980.9003
MEM 3.417969 1714303981.0010
MEM 3.417969 1714303981.1014
MEM 3.417969 1714303981.2016
MEM 3.417969 1714303981.3020
MEM 3.417969 1714303981.4028
MEM 3.417969 1714303981.5031
MEM 3.417969 1714303981.6034
MEM 3.417969 1714303981.7040
MEM 3.417969 1714303981.8051
MEM 3.417969 1714303981.9057
MEM 3.417969 1714303982.0063
MEM 3.417969 1714303982.1070
MEM 3.417969 1714303982.2077
MEM 3.417969 1714303982.3085
MEM 3.417969 1714303982.4091
MEM 3.417969 1714303982.5098
MEM 3.417969 1714303982.6103
MEM 3.417969 1714303982.7106
MEM 3.417969 1714303982.8110
MEM 3.417969 1714303982.9115
MEM 3.417969 1714303983.0120
MEM 3.417969 1714303983.1124
MEM 3.417969 1714303983.2128
MEM 3.417969 1714303983.3136
MEM 3.417969 1714303983.4139
MEM 3.417969 1714303983.5143
MEM 3.417969 1714303983.6148
MEM 3.417969 1714303983.7154
MEM 3.417969 1714303983.8156
MEM 3.417969 1714303983.9160
MEM 3.417969 1714303984.0166
MEM 3.417969 1714303984.1173
MEM 3.417969 1714303984.2181
MEM 3.417969 1714303984.3185
MEM 3.417969 1714303984.4190
MEM 3.417969 1714303984.5195
MEM 3.417969 1714303984.6198
MEM 3.417969 1714303984.7203
MEM 3.417969 1714303984.8205
MEM 3.417969 1714303984.9211
MEM 3.417969 1714303985.0215
MEM 3.417969 1714303985.1222
MEM 3.417969 1714303985.2225
MEM 3.417969 1714303985.3231
MEM 3.417969 1714303985.4237
